content,num_unique_words,total_num_words,label
URL http boingboing net 85515860 Date Not supplied Rob Pringles Can Flickenger and others at the O Reilly OS X con have tracked down the cause of the annoying flakiness in the wireless network here every 20 or 30 seconds you start getting connection refused messages from your browser and other net utilities It turns out that running the great network spy app Etherpeg 1 or other promiscuous network sniffers and the built in firewall in OS X at the same time causes your computer to begin intercepting every packet sent out on your segment of the wireless network and respond to it with a rejected message So today Rob and everyone else who knows about this is going to run around and tell people running Etherpeg to _turn off the firewall_ and vice versa Ah fickle networking you are such a stern mistress Link 2 Don t do the brown WiFi the brown WiFi is BAD _Thanks Rob _ 1 http www oreillynet com pub wlg 1414 2 http www oreillynet com pub wlg 2086 ,122,176,hamnspam\ham
URL http www newsisfree com click 1 8381143 215 Date 2002 09 30T03 05 00 01 00 Business City and Wall Street are sceptical of plan to prevent more countries slipping into Argentina style crisis ,34,35,hamnspam\ham
Thanks Matthias After installing those packages Xine now installs fine Guess I shoulda figured that one out Thanks QuaffAPint _______________________________________________ RPM List mailing list RPM List freshrpms net http lists freshrpms net mailman listinfo rpm list ,30,36,hamnspam\ham
URL http www newsisfree com click 2 8199104 1440 Date Not supplied Millions of tiny fat droplets are thought to damage the brains of most heart surgery patients sonic waves may help ,31,32,hamnspam\ham
"[<email.message.Message object at 0x0000020CF3080A30>, <email.message.Message object at 0x0000020CF30A80D0>]",0,0,hamnspam\ham
On Monday September 23 2002 at 03 25 PM R A Hettinga wrote Green Red Capitalist Nazi Information content of the above statements 0 Meanwhile the angels of light tm are having a great knock down drag out with the eldrich kings of NET on XML DEV whump Bill Humphries bill whump com http www whump com moreLikeThis ,51,58,hamnspam\ham
URL http scriptingnews userland com backissues 2002 09 25 When 12 25 19PM Date Wed 25 Sep 2002 19 25 19 GMT Ed Cone 1 The House Subcommittee on Courts the Internet and Intellectual Property will hold a hearing on Piracy of Intellectual Property on Peer to Peer Networks at 9AM Thursday September 26 2141 Rayburn House Office Building The Berman Coble bill will be discussed The hearings are open to the press 1 http radio weblogs com 0107946 2002 09 25 html a187 ,62,84,hamnspam\ham
 Valdis Kletnieks vt edu said I checked on a number of small messages in a big folder 10000 msgs The delay of the Next button has increased considerably 2 5 release 350 450 msec latest cvs 1000 12000 msec I m not seeing a hit on next A quick just pound on next and watch the wall clock test shows me able to go through 20 messages in under 5 seconds so it s well under 250ms per switch but I m seeing a really piggy CPU spike 100 for a few seconds in the flist code Of course it seems to be related to number of folders wc Mail folders 131 131 1122 Mail folders I have 167 folders and run with bg proc set to flist 1 minute I see delays but not that much Maybe 1 3 seconds which tend to disappear these days This is on a PII 266 BR A _______________________________________________ Exmh workers mailing list Exmh workers redhat com https listman redhat com mailman listinfo exmh workers ,123,172,hamnspam\ham
 Hal DeVore said Brent said in his book This Paste function can be convenient but it turns out that users still need to keep track of the difference between the two selections If a user only understands the CLIPBOARD then the user of PRIMARY is only surprising I learned that it is best to have a separate paste user action for the two selections The convention is that ButtonRelease 2 sets the insert point and inserts the PRIMARY selection The Paste event e g the Paste key simply inserts the CLIPBOARD selection at the current insert point Yeah I learned by hearing exmh users scream in agony Sorry about all that We should be able to clean this up If you grep for bind in seditBind you quickly find the Text_Selection proc I described in the previous email Brent Welch Software Architect Panasas Inc Pioneering the World s Most Scalable and Agile Storage Network www panasas com welch panasas com _______________________________________________ Exmh users mailing list Exmh users redhat com https listman redhat com mailman listinfo exmh users ,117,177,hamnspam\ham
 egad you mean there s two of them I knew there was a reason my jobs board had jumped to the top of my traffic list Gary Lawrence Murphy garym teledyn com TeleDynamics Communications blog http www auracom com teledyn biz http teledyn com Computers are useless They can only give you answers Picasso ,45,54,hamnspam\ham
